fiscal_year|@|accounting_period|@|code_dept_local|@|type_dept_local|@|code_entity_conso|@|code_entity_local|@|code_entity_elr|@|data_type_code|@|code_bank|@|code_guichet|@|code_pci|@|code_account_local|@|code_gop|@|code_currency_base|@|code_currency_transaction|@|code_ledger|@|code_object|@|code_product|@|code_affiliate|@|code_ifrs_prc|@|code_pcec|@|account_type|@|back_office_data_source|@|ytd_amount_base_currency_wo_adjust|@|ytd_amount_trans_currency_wo_adjust|@|ytd_amount_eur_currency_wo_adjust|@|ytd_amount_base_currency_wi_adjust|@|ytd_amount_trans_currency_wi_adjust|@|ytd_amount_eur_currency_wi_adjust|@|ytd_amount_base_currency_wi_adjust_after_comp|@|ytd_amount_trans_currency_wi_adjust_after_compl|@|ytd_amount_eur_currency_wi_adjust_after_compl|@|source_code|@|situation_date|@|sprias|@|insert_date|@|update_date|@|shortname
2019|@|04|@|3000316275|@|CA|@|S0001|@|N/A|@|N/A|@|RAW|@|30003|@|07095|@|99690090|@|99690090|@||@|EUR|@|EUR|@|REEL_100 |@|NO_OBJECT|@|NO_PRODUCT|@|NO_AFFILIATE|@|I790000  |@|699    |@|C|@|00|@|-1658800.0|@|-1658800.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|a2274_nsa|@|30052019|@|NRG0016  |@|2020-03-02 17:00:04|@|2020-03-02 17:00:04|@|RESG/BSC/DAT/EUR/BDD
2019|@|04|@|3000316275|@|CA|@|S0001|@|N/A|@|N/A|@|RAW|@|30003|@|07095|@|99690090|@|99690090|@||@|EUR|@|EUR|@|REEL_100 |@|NO_OBJECT|@|NO_PRODUCT|@|NO_AFFILIATE|@|I790000  |@|699    |@|C|@|00|@|-1658800.0|@|-1658800.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|-16588.0|@|a2274_nsa|@|30052019|@|NRG0016  |@|2020-03-02 17:00:04|@|2020-03-02 17:00:04|@|RESG/BSC/DAT/EUR/BDD
2019|@|04|@|3000316275|@|CA|@|S0001|@|N/A|@|N/A|@|RAW|@|30003|@|07095|@|99792227|@|99792227|@||@|EUR|@|EUR|@|REEL_100 |@|NO_OBJECT|@|NO_PRODUCT|@|NO_AFFILIATE|@|I790000  |@|799    |@|P|@|00|@|1.481371E8|@|1.481371E8|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|a2274_nsa|@|30052019|@|NRG0900  |@|2020-03-02 17:00:04|@|2020-03-02 17:00:04|@|RESG/BSC/DAT/EUR/BDD
2019|@|04|@|3000316275|@|CA|@|S0001|@|N/A|@|N/A|@|RAW|@|30003|@|07095|@|99792227|@|99792227|@||@|EUR|@|EUR|@|REEL_100 |@|NO_OBJECT|@|NO_PRODUCT|@|NO_AFFILIATE|@|I790000  |@|799    |@|P|@|00|@|1.481371E8|@|1.481371E8|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|1481371.0|@|a2274_nsa|@|30052019|@|NRG0900  |@|2020-03-02 17:00:04|@|2020-03-02 17:00:04|@|RESG/BSC/DAT/EUR/BDD
